ECG	Heart Rate
-0.107117	65.6455
-0.105591	65.6455
-0.10498	65.6455
-0.10437	65.6455
-0.103455	65.6455
-0.102234	65.6455
-0.100708	65.6455
-0.0991821	65.6455
-0.0979614	65.6455
-0.0976563	65.6455
-0.0979614	65.6455
-0.098877	65.6455
-0.0997925	65.6455
-0.100708	65.6455
-0.101318	65.6455
-0.101318	65.6455
-0.101013	65.6455
-0.100708	65.6455
-0.100098	65.6455
-0.0994873	65.6455
-0.0985718	65.6455
-0.0979614	65.6455
-0.0970459	65.6455
-0.0961304	65.6455
-0.0946045	65.6455
-0.0927734	65.6455
-0.0900269	65.6455
-0.0863647	65.6455
-0.0827026	65.6455
-0.0784302	65.6455
-0.0744629	65.6455
-0.0708008	65.6455
-0.067749	65.6455
-0.065918	65.6455
-0.0643921	65.6455
-0.0634766	65.6455
-0.0631714	65.6455
-0.0631714	65.6455
-0.0631714	65.6455
-0.0634766	65.6455
-0.0640869	65.6455
-0.0653076	65.6455
-0.0674438	65.6455
-0.0701904	65.6455
-0.0732422	65.6455
-0.0769043	65.6455
-0.0799561	65.6455
-0.0820923	65.6455
-0.0827026	65.6455
-0.0823975	65.6455
-0.0811768	65.6455
-0.0793457	65.6455
-0.0778198	65.6455
-0.0762939	65.6455
-0.0753784	65.6455
-0.0741577	65.6455
-0.0723267	65.6455
-0.0695801	65.6455
-0.065918	65.6455
-0.0619507	65.6455
-0.057373	65.6455
-0.0531006	65.6455
-0.0497437	65.6455
-0.0469971	65.6455
-0.0454712	65.6455
-0.0442505	65.6455
-0.043335	65.6455
-0.0424194	65.6455
-0.0415039	65.6455
-0.0408936	65.6455
-0.039978	65.6455
-0.0393677	65.6455
-0.0387573	65.6455
-0.0387573	65.6455
-0.0390625	65.6455
-0.039978	65.6455
-0.0415039	65.6455
-0.043335	65.6455
-0.0445557	65.6455
-0.045166	65.6455
-0.0448608	65.6455
-0.0436401	65.6455
-0.0418091	65.6455
-0.0390625	65.6455
-0.0360107	65.6455
-0.0326538	65.6455
-0.0292969	65.6455
-0.0265503	65.6455
-0.0241089	65.6455
-0.0222778	65.6455
-0.020752	65.6455
-0.0186157	65.6455
-0.015564	65.6455
-0.0112915	65.6455
-0.00640869	65.6455
-0.000610352	65.6455
0.00488281	65.6455
0.0106812	65.6455
0.0158691	65.6455
0.0204468	65.6455
0.0250244	65.6455
0.0286865	65.6455
0.0320435	65.6455
0.0350952	65.6455
0.0378418	65.6455
0.0405884	65.6455
0.043335	65.6455
0.0463867	65.6455
0.050354	65.6455
0.0552368	65.6455
0.06073	65.6455
0.065918	65.6455
0.0708008	65.6455
0.0753784	65.6455
0.0796509	65.6455
0.0839233	65.6455
0.0878906	65.6455
0.0915527	65.6455
0.0952148	65.6455
0.0979614	65.6455
0.100708	65.6455
0.10376	65.6455
0.107727	65.6455
0.112915	65.6455
0.119324	65.6455
0.126038	65.6455
0.132751	65.6455
0.138245	65.6455
0.142822	65.6455
0.147095	65.6455
0.151367	65.6455
0.155334	65.6455
0.158997	65.6455
0.162964	65.6455
0.167236	65.6455
0.171814	65.6455
0.176697	65.6455
0.181885	65.6455
0.187073	65.6455
0.192261	65.6455
0.196838	65.6455
0.200806	65.6455
0.204773	65.6455
0.209045	65.6455
0.213318	65.6455
0.21759	65.6455
0.221558	65.6455
0.22522	65.6455
0.228577	65.6455
0.231323	65.6455
0.233459	65.6455
0.234985	65.6455
0.235596	65.6455
0.235291	65.6455
0.23407	65.6455
0.232239	65.6455
0.231018	65.6455
0.229797	65.6455
0.229492	65.6455
0.228882	65.6455
0.227966	65.6455
0.226746	65.6455
0.22522	65.6455
0.222778	65.6455
0.219727	65.6455
0.216675	65.6455
0.213013	65.6455
0.209351	65.6455
0.205383	65.6455
0.200806	65.6455
0.196228	65.6455
0.19165	65.6455
0.186768	65.6455
0.18158	65.6455
0.176392	65.6455
0.170593	65.6455
0.164185	65.6455
0.157166	65.6455
0.149536	65.6455
0.140991	65.6455
0.131836	65.6455
0.12207	65.6455
0.112305	65.6455
0.102234	65.6455
0.0921631	65.6455
0.0817871	65.6455
0.0714111	65.6455
0.06073	65.6455
0.050354	65.6455
0.0402832	65.6455
0.0311279	65.6455
0.0222778	65.6455
0.0137329	65.6455
0.00518799	65.6455
-0.00305176	65.6455
-0.0109863	65.6455
-0.0186157	65.6455
-0.0259399	65.6455
-0.032959	65.6455
-0.0396729	65.6455
-0.0457764	65.6455
-0.0506592	65.6455
-0.0549316	65.6455
-0.0585938	65.6455
-0.0619507	65.6455
-0.0650024	65.6455
-0.0680542	65.6455
-0.0708008	65.6455
-0.0735474	65.6455
-0.0759888	65.6455
-0.078125	65.6455
-0.0802612	65.6455
-0.0820923	65.6455
-0.0839233	65.6455
-0.0860596	65.6455
-0.088501	65.6455
-0.0918579	65.6455
-0.0958252	65.6455
-0.0997925	65.6455
-0.103149	65.6455
-0.105591	65.6455
-0.107117	65.6455
-0.108337	65.6455
-0.109558	65.6455
-0.111084	65.6455
-0.112	65.6455
-0.11322	65.6455
-0.114136	65.6455
-0.115356	65.6455
-0.116577	65.6455
-0.118103	65.6455
-0.119324	65.6455
-0.119934	65.6455
-0.119934	65.6455
-0.119629	65.6455
-0.119324	65.6455
-0.119324	65.6455
-0.119629	65.6455
-0.120239	65.6455
-0.12085	65.6455
-0.121765	65.6455
-0.122375	65.6455
-0.122681	65.6455
-0.122681	65.6455
-0.122375	65.6455
-0.122375	65.6455
-0.122375	65.6455
-0.122681	65.6455
-0.123291	65.6455
-0.124207	65.6455
